currency,risk_free_rate,equity_risk_premium,country_risk_premium,tax_rate,default_perpetuity_growth,as_of,source_note
USD,0.043,0.045,0.000,0.25,0.025,2026-06-30,10Y US Treasury; Damodaran implied ERP
BRL,0.115,0.043,0.000,0.34,0.040,2026-06-30,NTN-B 2035 real-yield anchor converted to nominal BRL with 4.0% inflation; no separate CRP to avoid double counting sovereign risk
